Date,ID.transect,replicate,angle,obs.distance,cluster_size,transect_length
17-Aug-13,1,1,12,208,1,1.046
17-Aug-13,1,1,6,193,3,1.046
17-Aug-13,1,1,15,203,4,1.046
17-Aug-13,1,1,12,312,1,1.046
17-Aug-13,1,1,8.9,150,1,1.046
17-Aug-13,2,1,32.9,266,1,1.35
17-Aug-13,2,1,19.4,139,1,1.35
17-Aug-13,2,1,0,59,1,1.35
17-Aug-13,3,1,39.1,124,1,1.483
17-Aug-13,3,1,30.6,122,1,1.483
17-Aug-13,3,1,34.6,27,1,1.483
17-Aug-13,3,1,0,59,2,1.483
17-Aug-13,3,1,39.6,179,1,1.483
17-Aug-13,4,1,38.5,117,1,1.321
17-Aug-13,4,1,33.8,184,1,1.321
17-Aug-13,5,1,32.8,180,1,1.094
17-Aug-13,6,1,32,341,1,1.016
19-Aug-13,7,1,12,15,1,1.221
19-Aug-13,8,1,11.6,113,1,1.511
19-Aug-13,9,1,NA,NA,NA,1.549
19-Aug-13,10,1,NA,NA,NA,1.111
19-Aug-13,10,1,27.2,56,1,1.111
19-Aug-13,11,1,NA,NA,NA,1.072
19-Aug-13,11,1,0,91,1,1.072
19-Aug-13,11,1,0,71,2,1.072
19-Aug-13,12,1,28.8,65,1,1.277
20-Aug-13,1,2,NA,NA,NA,1.046
20-Aug-13,2,2,12.1,167,1,1.35
20-Aug-13,2,2,28.2,197,1,1.35
20-Aug-13,2,2,10.5,350,2,1.35
20-Aug-13,2,2,12.1,106,1,1.35
20-Aug-13,3,2,45,45,1,1.483
20-Aug-13,3,2,0,84,1,1.483
20-Aug-13,4,2,41.5,76,1,1.321
20-Aug-13,4,2,29.5,30,1,1.321
20-Aug-13,4,2,32.2,125,1,1.321
20-Aug-13,4,2,26.5,88,1,1.321
20-Aug-13,5,2,NA,NA,NA,1.094
20-Aug-13,6,2,NA,NA,NA,1.016
20-Aug-13,7,2,26.2,61,2,1.221
20-Aug-13,8,2,NA,NA,NA,1.511
21-Aug-13,9,2,NA,NA,NA,1.549
21-Aug-13,10,2,NA,NA,NA,1.111
21-Aug-13,11,2,0,52,2,1.072
21-Aug-13,12,2,0,40,1,1.277
21-Aug-13,12,2,0,61,1,1.277
25-Aug-13,1,3,0,13,1,1.046
25-Aug-13,2,3,23,150,1,1.35
25-Aug-13,2,3,9.2,71,1,1.35
25-Aug-13,2,3,23.1,113,1,1.35
25-Aug-13,2,3,0,304,1,1.35
25-Aug-13,2,3,17.1,290,1,1.35
25-Aug-13,3,3,25.1,111,1,1.483
25-Aug-13,3,3,18.5,356,1,1.483
25-Aug-13,3,3,38,110,2,1.483
25-Aug-13,3,3,36.4,37,1,1.483
25-Aug-13,3,3,14.4,146,1,1.483
25-Aug-13,4,3,33,27,2,1.321
25-Aug-13,4,3,40.1,28,1,1.321
25-Aug-13,4,3,38.1,37,1,1.321
25-Aug-13,5,3,13.2,250,1,1.094
25-Aug-13,6,3,15.9,546,1,1.016
28-Aug-13,7,3,26.9,267,1,1.221
28-Aug-13,8,3,22.9,383,1,1.511
28-Aug-13,9,3,NA,NA,NA,1.549
28-Aug-13,10,3,NA,NA,NA,1.111
28-Aug-13,11,3,NA,NA,NA,1.072
28-Aug-13,12,3,NA,NA,NA,1.277
28-Aug-13,12,3,11.4,45,1,1.277
28-Aug-13,12,3,0,0,1,1.277
28-Aug-13,12,3,0,127,1,1.277
28-Aug-13,12,3,0,47,1,1.277
29-Aug-13,1,4,13.8,241,3,1.046
29-Aug-13,1,4,11,193,2,1.046
29-Aug-13,1,4,8.4,103,2,1.046
29-Aug-13,1,4,8.6,99,1,1.046
29-Aug-13,2,4,27.4,174,1,1.35
29-Aug-13,2,4,0,69,1,1.35
29-Aug-13,2,4,0,94,1,1.35
29-Aug-13,2,4,11,236,2,1.35
29-Aug-13,3,4,22.1,116,1,1.483
29-Aug-13,3,4,32.8,36,1,1.483
29-Aug-13,3,4,23,59,1,1.483
29-Aug-13,3,4,25.2,10,1,1.483
29-Aug-13,4,4,35.2,28,1,1.321
29-Aug-13,4,4,35,50,1,1.321
29-Aug-13,4,4,23.4,28,1,1.321
29-Aug-13,5,4,34.7,130,1,1.094
29-Aug-13,6,4,NA,NA,NA,1.016
30-Aug-13,7,4,0,17,1,1.221
30-Aug-13,8,4,NA,NA,NA,1.511
30-Aug-13,9,4,NA,NA,NA,1.549
30-Aug-13,10,4,20,134,1,1.111
30-Aug-13,10,4,NA,NA,NA,1.111
30-Aug-13,11,4,0,60,1,1.072
30-Aug-13,11,4,NA,NA,NA,1.072
30-Aug-13,11,4,9.1,348,1,1.072
30-Aug-13,11,4,4.8,125,1,1.072
30-Aug-13,12,4,0,0,1,1.277
30-Aug-13,12,4,NA,NA,NA,1.277
06-Sep-13,1,5,12.2,189,1,1.046
06-Sep-13,1,5,10.1,290,1,1.046
06-Sep-13,1,5,10.7,154,1,1.046
06-Sep-13,1,5,10.4,192,1,1.046
06-Sep-13,2,5,31.4,288,1,1.35
06-Sep-13,2,5,33.4,274,1,1.35
06-Sep-13,2,5,7.2,184,1,1.35
06-Sep-13,2,5,21.1,163,1,1.35
06-Sep-13,2,5,19.3,175,1,1.35
06-Sep-13,2,5,7.1,192,3,1.35
06-Sep-13,2,5,18.1,125,1,1.35
06-Sep-13,2,5,26.8,90,2,1.35
06-Sep-13,3,5,NA,NA,NA,1.483
06-Sep-13,3,5,27,211,1,1.483
06-Sep-13,3,5,25.5,48,1,1.483
06-Sep-13,3,5,14.4,45,1,1.483
06-Sep-13,3,5,18.2,116,2,1.483
06-Sep-13,3,5,27.1,248,1,1.483
06-Sep-13,3,5,20.2,206,1,1.483
06-Sep-13,3,5,12.7,126,1,1.483
06-Sep-13,3,5,31,16,1,1.483
06-Sep-13,4,5,28.7,66,1,1.321
06-Sep-13,4,5,39.5,99,1,1.321
06-Sep-13,4,5,0,0,1,1.321
06-Sep-13,4,5,26.7,79,1,1.321
06-Sep-13,4,5,34.4,215,1,1.321
06-Sep-13,4,5,0,0,2,1.321
06-Sep-13,5,5,29.5,163,1,1.094
06-Sep-13,6,5,23.3,275,1,1.016
10-Sep-13,7,5,31.2,140,1,1.221
10-Sep-13,8,5,NA,NA,NA,1.511
10-Sep-13,9,5,20.7,401,1,1.549
10-Sep-13,9,5,NA,NA,NA,1.549
10-Sep-13,10,5,8.1,84,1,1.111
10-Sep-13,10,5,NA,NA,NA,1.111
10-Sep-13,11,5,NA,NA,NA,1.072
10-Sep-13,12,5,7.1,80,2,1.277
10-Sep-13,12,5,9.3,100,1,1.277
11-Sep-13,1,6,NA,NA,NA,1.046
11-Sep-13,2,6,0,179,1,1.35
11-Sep-13,2,6,20.1,77,1,1.35
11-Sep-13,2,6,0,222,1,1.35
11-Sep-13,2,6,0,37,1,1.35
11-Sep-13,2,6,19,53,1,1.35
11-Sep-13,2,6,0,0,1,1.35
11-Sep-13,3,6,0,0,1,1.483
11-Sep-13,3,6,25.8,80,1,1.483
11-Sep-13,3,6,11.8,117,2,1.483
11-Sep-13,3,6,19.9,157,1,1.483
11-Sep-13,3,6,40.3,166,1,1.483
11-Sep-13,4,6,43,56,1,1.321
11-Sep-13,4,6,33.5,113,1,1.321
11-Sep-13,4,6,34.1,140,1,1.321
11-Sep-13,4,6,37.2,71,1,1.321
11-Sep-13,4,6,38.5,145,1,1.321
11-Sep-13,4,6,32.2,102,1,1.321
11-Sep-13,4,6,38.5,198,1,1.321
11-Sep-13,4,6,37,42,1,1.321
11-Sep-13,5,6,NA,NA,NA,1.094
11-Sep-13,6,6,NA,NA,NA,1.016
12-Sep-13,7,6,32.5,99,3,1.221
12-Sep-13,8,6,NA,NA,NA,1.511
12-Sep-13,9,6,NA,NA,NA,1.549
12-Sep-13,10,6,NA,NA,NA,1.111
12-Sep-13,10,6,0,218,1,1.111
12-Sep-13,11,6,NA,NA,NA,1.072
12-Sep-13,12,6,11,122,2,1.277
12-Sep-13,12,6,30,87,1,1.277
13-Sep-13,1,7,16.7,112,3,1.046
13-Sep-13,2,7,0,209,1,1.35
13-Sep-13,2,7,14,295,4,1.35
13-Sep-13,2,7,0,11,1,1.35
13-Sep-13,2,7,22.8,244,1,1.35
13-Sep-13,2,7,0,167,1,1.35
13-Sep-13,2,7,16.6,210,4,1.35
13-Sep-13,3,7,20.7,230,1,1.483
13-Sep-13,3,7,29.9,50,1,1.483
13-Sep-13,3,7,31.8,53,1,1.483
13-Sep-13,3,7,45,44,1,1.483
13-Sep-13,3,7,0,33,1,1.483
13-Sep-13,3,7,40,61,1,1.483
13-Sep-13,4,7,47.6,53,1,1.321
13-Sep-13,4,7,36.2,47,2,1.321
